Year,Observed_flow,Ensemble_1,Ensemble_2,Ensemble_3,Ensemble_4,Ensemble_5,Ensemble_6,Ensemble_7,Ensemble_8,Ensemble_9,Ensemble_10,Ensemble_11,Ensemble_12,Ensemble_13,Ensemble_14,Ensemble_15,Ensemble_16,Ensemble_17,Ensemble_18,Ensemble_19,Ensemble_20,Ensemble_21,Ensemble_22,Ensemble_23,Ensemble_24,Ensemble_25,Ensemble_26,Ensemble_27,Ensemble_28,Ensemble_29,Ensemble_30,Ensemble_31,Ensemble_32,Ensemble_33,Ensemble_34,Ensemble_35,Ensemble_36,Ensemble_37,Ensemble_38,Ensemble_39,Ensemble_40,Ensemble_41,Ensemble_42,Ensemble_43,Ensemble_44,Ensemble_45,Ensemble_46,Ensemble_47,Ensemble_48,Ensemble_49,Ensemble_50,Ensemble_51
1989,0.982966667,1.229095891,1.40667446,1.185555153,1.097765321,1.247176349,1.140611091,1.127828207,1.318635404,1.266549073,1.248895489,1.235674533,1.267518842,1.131589671,1.493117613,1.217704563,1.120546452,1.209150669,1.203599302,1.15232333,1.154262773,1.144980037,1.223659951,1.237983198,1.342474297,1.116041426,1.299788017,1.116055832,1.321131932,1.135413198,1.430076232,1.463812488,1.28826364,1.231282438,1.091819439,1.589725473,1.540878594,1.157094484,1.198939491,1.133275935,1.27186638,1.302414689,1.128603761,1.135067705,1.390877041,1.535056077,1.156628604,1.197218869,1.454340692,1.205468169,1.125210014,1.945453401
1990,1.221666667,1.235890131,1.452520425,1.183572529,1.067664407,1.266093139,1.120424725,1.106998409,1.357373129,1.29157145,1.273262,1.239522114,1.290909453,1.111809058,1.56180877,1.222674566,1.094397295,1.221374588,1.204938141,1.132034118,1.13614507,1.119942027,1.22931827,1.254231215,1.401704211,1.095745672,1.338869502,1.088836693,1.369612498,1.109064162,1.478876008,1.539474001,1.300322816,1.240030259,1.06090414,1.702106168,1.631990055,1.136532818,1.200657394,1.115610218,1.30444329,1.329440033,1.102146642,1.109563299,1.443503159,1.599212992,1.15050847,1.199806183,1.512129881,1.2096434,1.098614315,2.101305055
1991,1.0346,0.570782064,0.67970777,0.558366586,0.51574978,0.589425458,0.534314882,0.527736242,0.621087495,0.596425667,0.586854867,0.588511638,0.592767853,0.528229626,0.718834749,0.580960487,0.524826677,0.565149194,0.563233212,0.535867711,0.537717183,0.53328325,0.56686135,0.580871569,0.6459796,0.524340962,0.614154394,0.522709985,0.630373877,0.529355502,0.555301367,0.705516094,0.619839837,0.570472556,0.513695769,0.778991613,0.764035903,0.538994749,0.563402967,0.531325183,0.609919101,0.608310406,0.527166835,0.529393607,0.663960884,0.751192004,0.543122328,0.55828412,0.700065255,0.567801867,0.52582054,0.991830256
1992,0.797733333,0.791075242,0.942944265,0.764605451,0.712127426,0.822185911,0.737677478,0.7318824,0.859441448,0.83410668,0.821622991,0.815051962,0.830981828,0.73241599,0.992688368,0.804365613,0.725753031,0.790087996,0.78483895,0.744886721,0.746267413,0.740584991,0.790096554,0.799898729,0.882766223,0.725968163,0.843212044,0.723026291,0.861366402,0.734320438,0.775355874,1.080010449,0.855833264,0.799135944,0.708667858,1.055052177,1.038303196,0.747503326,0.773885406,0.73683513,0.829625513,0.853144479,0.730627808,0.734385237,0.925100632,1.037663108,0.754968572,0.779921739,0.973173922,0.776740786,0.728562237,1.331463679
1993,3.849666667,3.681730286,3.955617006,3.544554497,3.25841023,3.619905166,3.398974274,3.352301076,3.88589446,3.689580281,3.651382955,3.576303409,3.711408182,3.369569905,4.252280377,3.515288342,3.332168296,3.582055127,3.556394831,3.436341447,3.443415357,3.410245796,3.663832233,3.703828907,3.919656072,3.303600093,3.862732307,3.318549484,3.898270173,3.380173529,3.590644789,4.580272519,3.381496214,3.657892499,3.237242389,4.557209808,4.29178451,3.453638963,3.583864427,3.359375304,3.743685225,3.80847867,3.358650613,3.381604329,3.977556399,4.250291728,3.410374299,3.555085043,4.10628771,3.606573485,3.348815289,5.235098819
1994,3.536666667,2.747919799,3.014012184,2.645697604,2.413928146,2.718901597,2.524258068,2.487275678,2.941714682,2.77209441,2.736054813,2.683652892,2.787509626,2.500627291,3.262906672,2.63795749,2.471716488,2.671115237,2.652425377,2.553003188,2.558483142,2.532877907,2.732219426,2.777901526,2.969482062,2.45159439,2.922136677,2.460894465,2.960641114,2.508950319,2.67439695,3.561886701,2.510112011,3.11121134,2.397647374,3.546044905,3.318912414,2.566422619,2.6754094,2.495020077,2.827676368,2.870717361,2.492311733,2.510002905,3.024742027,3.261712916,2.539245047,2.646277973,3.137630498,2.698270987,2.484404641,4.134305396
1995,2.465,2.018631,2.245349338,1.942156258,1.735313996,1.994005899,1.832841972,1.7932567,2.183782702,2.034818105,2.00624785,1.963235735,2.043644366,1.800116742,2.454614386,1.930598934,1.784977374,1.946952577,1.931695678,1.838947507,1.853609228,1.824854714,2.006174921,2.046505593,2.218385534,1.768048372,2.166212703,1.773841427,2.199951355,1.806755113,1.94276488,2.697050213,1.809385855,2.322263985,2.428713231,2.6712831,2.524101583,1.862839662,1.964970113,1.801341807,2.096061609,2.115437494,1.794830276,1.808113739,2.263567819,2.458932313,1.84138303,1.922644184,2.354000714,1.983459668,1.78761842,3.186474534
1996,2.005,2.07764874,2.324675732,1.994180658,1.786429968,2.061456693,1.88106194,1.846433007,2.25105718,2.1032641,2.076098731,2.025014521,2.113485306,1.853507692,2.533094383,1.992507454,1.833597815,2.00847076,1.989827522,1.894022326,1.903078369,1.87855016,2.065060104,2.105818458,2.287311747,1.821962128,2.231854812,1.823923473,2.266757468,1.859976865,1.998356505,2.7835074,1.861273663,2.39668718,2.50645546,2.108470714,2.606372305,1.910935205,2.018404972,1.855910562,2.156491125,2.18415848,1.847328789,1.860948849,2.337055702,2.539861875,1.899727649,1.98206341,2.430360361,2.037121232,1.84082845,3.2906775
1997,0.928266667,0.786000491,0.936640518,0.759808997,0.707904396,0.816776303,0.733174305,0.727417166,0.853519091,0.828543985,0.816121272,0.809899359,0.825425986,0.72797463,0.985713681,0.79928344,0.721381835,0.784911508,0.779800055,0.740311393,0.741654187,0.736059165,0.784932178,0.794604006,0.8767414,0.721558442,0.837428567,0.7186837,0.855423563,0.729857048,0.770444889,1.072297124,0.730171101,0.942668824,0.961150055,0.850398555,0.793846162,0.742891999,0.768984997,0.732317922,0.824207508,0.847337027,0.726205614,0.729918944,0.918742898,1.030672181,0.750233875,0.774876253,0.966507249,0.771817901,0.72416165,1.322060016
1998,1.597666667,1.427025412,1.640867579,1.363587264,1.204949314,1.429121659,1.277511264,1.251379015,1.564210103,1.46173999,1.439676068,1.39862198,1.463641233,1.2560806,1.792290935,1.377538243,1.241210486,1.384421223,1.365684608,1.280875446,1.293684652,1.268316057,1.418065964,1.447943351,1.609098181,1.236113662,1.544701898,1.232668904,1.577118798,1.255275733,1.367917197,1.978866294,1.25753696,1.689022327,1.768361453,1.46819321,1.421216544,1.19669133,1.383336092,1.260103668,1.497005238,1.517573899,1.247018159,1.256314318,1.650585049,1.81572644,1.298545365,1.359479673,1.724392436,1.395006596,1.24198662,2.395835784
1999,3.386666667,2.863976809,3.120054045,2.759742294,2.510434399,2.820890591,2.631387742,2.585743105,3.054468757,2.875955747,2.839100321,2.784937077,2.891724377,2.599421638,3.377700475,2.738190322,2.572593412,2.776228613,2.756556837,2.652892046,2.662796392,2.632317449,2.843926815,2.889565531,3.089014738,2.548737063,3.038221357,2.560238997,3.077379655,2.608076345,2.779611358,3.689066306,2.609885646,3.218364854,3.351015127,2.881320856,2.839874868,2.493721594,3.67365511,2.593459123,2.946038151,2.975364958,2.591209466,2.609476898,3.132006873,3.372951602,2.638114437,2.749373764,3.244505706,2.813023284,2.582645587,4.270262282
2000,2.375,2.692122869,2.942812623,2.593406144,2.33555839,2.645054433,2.459141341,2.409142951,2.889447536,2.698540708,2.661130856,2.607545552,2.713657119,2.420672684,3.208757624,2.563562786,2.398855937,2.596587908,2.578568971,2.471482973,2.487545357,2.452464362,2.674357553,2.724319327,2.920919263,2.374199306,2.871350169,2.385380366,2.909478484,2.42924337,2.599291974,3.508211732,2.432172412,3.046279438,3.181311759,2.704283191,2.669138109,2.319630487,3.487671516,3.276440721,2.776295629,2.80068291,2.413330655,2.43097694,2.969202386,3.195773024,2.462990804,2.568339518,3.07668304,2.645186908,2.40436758,4.077141308
2001,5.257666667,4.997513813,5.287029335,4.81946213,4.445509658,4.898887426,4.6295767,4.568802154,5.253194531,4.997471538,4.956364022,4.835947544,5.025352011,4.591842113,5.689336568,4.753423272,4.541835813,4.868655423,4.834366712,4.679050706,4.688130139,4.644188853,4.974613146,5.02607761,5.29881093,4.504601549,5.230013609,4.524418237,5.275729082,4.605605122,4.879817342,6.106199118,4.606947511,5.469783927,5.643197181,4.96268028,4.967075177,4.417172497,6.100746512,5.724114077,4.701560274,5.143054593,4.576958446,4.607558352,5.349438513,5.65337573,4.645162788,4.833926086,5.48680151,4.89973562,4.564576547,6.905617048
2002,1.200666667,1.224794077,1.403131557,1.181286415,1.093564684,1.243431472,1.13637603,1.123675436,1.314952087,1.262827006,1.24521791,1.23176197,1.263714704,1.127361583,1.489740504,1.213857834,1.116326524,1.205324686,1.199596091,1.148078506,1.150017163,1.140738927,1.219462664,1.233992912,1.338741846,1.111916783,1.296194635,1.111840267,1.317617624,1.130610133,1.196846661,1.619547305,1.131181784,1.426438531,1.460548806,1.284406496,1.227294739,1.087622561,1.587763578,1.537858039,1.152847746,1.194701231,1.12437704,1.130837466,1.387392617,1.531563644,1.152661873,1.193257336,1.450837369,1.201183094,1.120986998,1.944041804
2003,5.138666667,4.480133672,4.752387327,4.316537515,3.896074099,4.341937918,4.101204693,4.018745824,4.760842247,4.437694246,4.388662115,4.287363113,4.467315657,4.036631413,5.198111339,4.206636611,4.004567397,4.314183447,4.283010964,4.121583567,4.153236175,4.089560179,4.452154065,4.523366544,4.791804049,3.95235821,4.739894418,3.981321111,4.791784883,4.051638458,4.341137114,5.632621941,4.060271618,4.955692568,5.16594341,4.421112925,4.437819785,3.868964728,5.627812507,5.246100894,4.172132022,4.363804809,4.02497481,4.056659024,4.833055281,5.131545887,4.08655991,4.279428219,4.9802948,4.398329607,4.009871438,6.420124707
2004,1.280333333,0.970443784,1.139048985,0.931549582,0.831161318,0.983582394,0.873026088,0.859952247,1.067175032,1.002682592,0.987906977,0.966897047,1.001795196,0.860880143,1.235411143,0.953517109,0.850865057,0.94455574,0.933395408,0.877753798,0.88387443,0.870110491,0.965254929,0.986941861,1.103215971,0.851734384,1.051886649,0.846211542,1.077843114,0.861725549,0.932309055,1.363233409,0.862181585,1.163667441,1.214347295,1.01697204,0.970004758,0.826273581,1.343059876,1.295629282,0.887774691,0.944458438,0.866695603,1.024606278,1.137493006,1.264848454,0.893011531,0.928806548,1.193944121,0.951951003,0.853784731,1.67722632
2005,1.212333333,1.453201068,1.676492589,1.397421804,1.277822966,1.478555962,1.334711362,1.319155213,1.581714936,1.505591626,1.485124153,1.455683013,1.508249064,1.322662086,1.800444853,1.43364978,1.307938452,1.432503776,1.420151311,1.350057482,1.353085627,1.340039587,1.449974836,1.474208137,1.610229413,1.303746414,1.560388575,1.302104227,1.588644757,1.326991134,1.415624602,1.97319136,1.32771874,1.713492311,1.769958639,1.519820494,1.461911841,1.269738729,1.944435313,1.858114713,1.356705871,1.414764311,1.32666596,1.515157241,1.55380157,1.835513538,1.359182692,1.414240592,1.742745427,1.42557817,1.314225137,2.372661222
2006,0.909566667,1.172794066,1.363004197,1.121848325,0.993144037,1.178659805,1.048934466,1.030186931,1.289200713,1.205286187,1.186510916,1.155977746,1.206452016,1.03246134,1.486916173,1.138761218,1.021206529,1.137204126,1.123134209,1.053139137,1.064553089,1.043460753,1.16703283,1.192150093,1.327325691,1.018569435,1.270312352,1.014263072,1.299424268,1.032748768,1.127485941,1.637328124,1.034584291,1.40131533,1.461976205,1.21599965,1.172980098,0.986734325,1.613368515,1.550376291,1.069842644,1.138114722,1.037650997,1.230828335,1.254529163,1.026153025,1.069388954,1.117955429,1.434179316,1.147281732,1.022294094,1.999509157
2007,2.728,2.705175704,2.95612335,2.597019979,2.31104767,2.633646628,2.446857513,2.390553967,2.912154431,2.695303209,2.654958989,2.596489769,2.718147931,2.400452159,3.243186532,2.547537009,2.383329996,2.588293506,2.572242236,2.454780231,2.480699852,2.435456127,2.689028839,2.739841978,2.938500252,2.351386975,2.891800305,2.366735214,2.930885928,2.410165053,2.609534527,3.547702651,2.417935226,3.075677878,3.213209313,2.699456974,2.685950007,2.294316422,3.526137026,3.308966323,2.495009602,2.627574124,2.397501048,2.781368089,2.82169022,2.394126268,2.413686119,2.561608325,3.106656808,2.652035359,2.383288595,4.132791306
2008,2.649666667,2.165026681,2.38572817,2.08431855,1.918422565,2.150533273,1.999638511,1.972729485,2.30276152,2.189432793,2.159225214,2.128526402,2.198614859,1.982386987,2.559212737,2.094157303,1.961358337,2.109376464,2.097308164,2.021294125,2.025293161,2.006866903,2.154329103,2.178876843,2.32647067,1.946714772,2.281651737,1.953130993,2.312086856,1.988591683,2.111453824,2.783893198,1.989611639,2.450409248,2.525200059,2.204424882,2.155579876,1.90670517,2.764510533,2.606058015,2.031016697,2.107598781,1.978828743,2.215926396,2.260088489,1.976524748,1.989264025,2.382020705,2.474041332,2.121044964,1.970402362,3.248218574
2009,2.354666667,2.255665925,2.48148959,2.1715638,1.998483418,2.239180071,2.083241898,2.05513187,2.395529446,2.279877354,2.248873453,2.215733873,2.289747349,2.065232235,2.658053872,2.179929769,2.043260045,2.197455266,2.184573881,2.105800548,2.109993849,2.090691532,2.244523267,2.269285531,2.421374039,2.027862296,2.371509631,2.034702255,2.400253316,2.071703009,2.199810279,2.878018597,2.072752061,2.548572921,2.620335122,2.293771703,2.245188409,1.986215892,2.848970251,2.703787984,2.115989611,2.195804102,2.061360726,2.307321623,2.353059251,2.059083853,2.07242176,2.478567744,2.683227071,2.209813603,2.052729356,3.345542581
2010,1.764333333,1.934363453,2.163199004,1.854603063,1.642588226,1.906973193,1.742227514,1.701377315,2.100530414,1.9496696,1.921362434,1.873570089,1.9587614,1.705936921,2.371954834,1.841874438,1.693755757,1.860648456,1.842534819,1.744061146,1.763380565,1.730559546,1.922469253,1.961399869,2.137726662,1.67696273,2.081587458,1.681580034,2.11582576,1.71264415,1.858863997,2.610479359,1.716527191,2.241810967,2.345950447,1.9575838,1.922187887,1.630938234,2.581546511,2.445106379,1.773877169,1.877722396,1.709684292,2.010186987,2.035270049,1.701194157,1.714408072,2.185906653,2.38082805,1.751577803,1.693701416,3.100439204
2011,1.279133333,0.986494322,1.164331017,0.950753797,0.878720425,1.018582992,0.913518712,0.905203592,1.075571824,1.035041822,1.02017363,1.006102027,1.033325683,0.906237022,1.236818289,0.992303264,0.897234277,0.981371195,0.973472884,0.923163186,0.925146976,0.91718431,0.985323794,1.00015065,1.10085055,0.896721947,1.057332811,0.89356846,1.079113546,0.908863507,0.964236161,1.350863494,0.909319444,1.179514694,1.21010364,1.054585984,0.996025082,0.873926122,1.324878065,1.287498986,0.926919181,0.96255746,0.911134042,1.032773469,1.062783604,0.903803951,0.909021476,1.148788802,1.279775745,0.934212121,0.968292396,1.651627446
2012,0.842933333,0.743878322,0.90517801,0.712317773,0.640502358,0.772177423,0.667591329,0.664270491,0.826694143,0.787083341,0.774699505,0.757974054,0.784355107,0.666211947,0.973081749,0.748432911,0.654388728,0.736294899,0.72605826,0.677489979,0.678093309,0.66946238,0.740627159,0.757574272,0.862754021,0.65929358,0.811079282,0.651626792,0.835394751,0.663142101,0.715950635,1.074335325,0.663469555,0.915695629,0.952666172,0.80144519,0.74827969,0.636937597,1.058210947,1.02862735,0.678179372,0.723811116,0.670735036,0.793298069,0.809482703,0.659348362,0.663233765,0.895651432,1.008395137,0.694434455,0.722337117,0.944861669
2013,4.810866667,5.431606502,4.967852692,4.545456831,5.02215519,4.751750686,4.67507632,5.42867018,5.124869155,5.080893493,4.955571791,5.153972961,4.699300859,5.888011095,4.86991048,4.651245246,4.993740612,4.957078779,4.79036641,4.807747753,4.75361382,5.115265607,5.184394961,5.481887832,4.607381971,5.413836983,4.630968787,5.470401012,4.71378508,5.006055691,6.355378399,4.716197947,5.628798401,5.857163155,5.091024065,5.095154676,4.515534628,6.360742972,5.932635621,4.823546454,5.019049695,4.685075485,5.242280288,5.28091442,4.683811593,4.716323004,5.500000769,5.816287422,4.755006664,4.954784716,5.647151947,5.05528938
2014,4.492533333,2.570555925,2.301547858,2.622248538,2.430108587,2.376945692,2.876312428,2.678140091,2.641896413,2.581781928,2.694031454,2.386899186,3.201712863,2.538039932,2.367956294,2.571344367,2.552550455,2.437936489,2.458637188,2.41913746,2.657696084,2.706198917,2.909112112,2.341961836,2.855914605,2.353034648,2.894645426,2.395760715,2.578059389,3.500265655,2.399941609,3.038954956,3.173026955,2.681001574,2.654363779,2.285559135,3.475766164,3.274266868,2.471172414,2.599650819,2.385754954,2.757161447,2.789597699,2.380015943,2.397970875,2.963952097,3.192507038,2.434266801,2.542375739,3.072071274,2.623230794,2.370448533